date,time,city,position,longitude,latitude,depth_value,description
2021-07-18 19:29:00,,北京,海淀山后冷泉附近的林语山庄,116.220680,40.033020,,车辆全部泡在水里
2023-07-22 10:42:00,,北京,朝阳区十里河桥区,116.458668,39.866167,,因短时强降雨，目前，我市部分道路产生积水
2022-07-03 12:20:00,,北京,通州兴贸南街东段,116.587497,39.758417,,积水，过往车辆请绕行
2023-08-05 15:15:00,,北京,房山区琉璃河镇洄城村的依澜阳光小区西门,116.030120,39.610998,50厘米,齐膝深的积水
2023-09-19 15:21:00,,北京,双兴大卖场路段、建北三社区北门、南小街等顺义城区路段,116.643691,40.146143,,每到雨天就容易积水，影响市民出行
2020-08-12 23:23:00,,北京,大宁山庄附近,116.214698,39.810731,,
2023-07-30 20:49:00,,北京,门头沟区石担路的京门铁路桥下,116.108135,39.942135,,
2023-09-24 09:02:00,,北京,太海路燕丹村南段幼儿园附近,116.444476,40.083548,一米左右,
2023-09-24 09:02:00,,北京,太海路,116.439998,40.086098,一米左右,
2023-08-09 15:59:00,,北京,河西地区北宫镇大灰厂路段,116.122130,39.839458,,
2023-09-19 15:21:00,,北京,双兴大卖场西侧,116.656497,40.144195,50厘米,路面积水下泄较慢，滞留超过一小时
2023-08-07 17:16:00,,北京,京广铁路桥下,116.47,39.90,,发生内涝，洪水退去，有大量的积水存在
2023-08-07 17:16:00,,北京,房山区琉璃河镇多处,116.030997,39.610514,,发生内涝，洪水退去，有大量的积水存在
2023-09-24 09:02:00,,北京,天通苑地区、回南路、燕丹村,116.444476,40.083548,一米左右,经常导致断路，甚至有不少井盖被雨水顶开，不仅影响行人出行
2020-05-21 20:47:00,,北京,石景山区古城街道北小区社区,116.185105,39.914600,,出现积水
2023-11-15 17:26:00,,北京,玉海园东门、西黄村、京通快速路四惠桥区,116.490039,39.908043,,积水
2023-08-01 10:30:00,,北京,故宫博物院慈宁宫,116.394399,39.919066,,暴雨时积水
2021-07-02 18:14:00,,北京,燕中路化三厂前东侧,116.81,40.36,一米左右,
