id,name,code,type,url,icon_sign,status,sort,open_type,pid
100,系统管理,ums:rights,menu,,layui-icon layui-icon-set-fill,,2,,0
101,权限管理,ums:rights:list,path,/system/rights/index.html,layui-icon layui-icon-console,,1,,100
102,新增权限,ums:rights:create,auth,,,,0,,101
103,修改权限,ums:rights:update,auth,,,,0,,101
104,获取权限,ums:rights:read,auth,,,,0,,101
105,删除权限,ums:rights:delete,auth,,,,0,,101
106,角色管理,ums:role,path,/system/role/index.html,layui-icon layui-icon-console,,2,,100
107,新增角色,ums:role:create,auth,,,,0,,106
109,修改角色,ums:role:update,auth,,,,0,,106
108,查询角色,ums:role:read,auth,,,,0,,106
110,删除角色,ums:role:delete,auth,,,,0,,106
111,部门管理,ums:department,path,/system/department/index.html,layui-icon layui-icon-console,,3,,100
112,新建部门,ums:department:create,auth,,,,0,,111
113,修改部门,ums:department:update,auth,,,,0,,111
114,删除部门,ums:department:delete,auth,,,,0,,111
115,查询部门,ums:department:read,auth,,,,0,,111
116,用户管理,ums:user,path,/system/user/index.html,layui-icon layui-icon-console,,4,,100
117,新增用户,ums:user:create,auth,,,,0,,116
118,修改用户,ums:user:update,auth,,,,0,,116
119,查询用户,ums:user:read,auth,,,,0,,116
120,查询用户,ums:user:read,auth,,,,0,,116
124,工作空间,,menu,,layui-icon layui-icon-console,,1,,0
125,工作台,,path,/view/console/index.html,layui-icon layui-icon-console,,2,_component,124
126,首页,,path,/view/analysis/index.html,layui-icon layui-icon-console,,1,_component,124
127,功能管理,ums:function,menu,,layui-icon layui-icon-table,,3,,0
128,数据管理,ums:data:list,path,/system/data/index.html,,,1,,127
129,新增数据,ums:data:create,auth,,,,0,,128
130,修改数据,ums:data:update,auth,,,,0,,128
131,删除数据,ums:data:delete,auth,,,,0,,128
132,查询数据,ums:data:read,auth,,,,0,,128
133,任务管理,ums:task:list,path,/system/task/index.html,,,2,,127
134,新增任务,ums:task:create,auth,,,,0,,133
135,修改任务,ums:task:update,auth,,,,0,,133
136,查询任务,ums:task:read,auth,,,,0,,133
137,删除任务,ums:task:delete,auth,,,,0,,133
138,检索管理,ums:channel:list,path,/system/channel/index.html,,,3,,127
139,增加检索,ums:channel:create,auth,,,,0,,138
140,修改检索,ums:channel:update,auth,,,,0,,138
141,删除检索,ums:channel:delete,auth,,,,0,,138
142,查询检索,ums:channel:read,auth,,,,0,,138
